time, bus(V), shunt (mV), load (V), current (mA), power (mW)
11.181698 3.16,6.51,3.17,67.90,212.00
11.239016 3.16,6.45,3.17,64.60,204.00
11.292509 3.16,6.44,3.17,63.60,200.00
11.349605 3.16,6.45,3.17,64.10,204.00
11.402972 3.16,6.47,3.17,64.50,204.00
11.460076 3.16,6.55,3.17,64.60,204.00
11.513289 2.99,13.99,3.01,80.90,256.00
11.570846 3.15,6.77,3.16,67.90,212.00
11.624259 3.16,6.47,3.17,64.10,204.00
11.681298 3.16,6.44,3.17,64.80,204.00
11.734915 3.03,12.07,3.04,120.90,368.00
11.791755 3.21,4.37,3.21,45.00,140.00
11.845536 3.20,4.31,3.21,44.60,144.00
11.902702 3.20,4.35,3.21,43.20,138.00
11.956148 3.01,13.86,3.02,134.10,404.00
12.013243 3.01,13.26,3.03,133.50,404.00
12.066599 3.18,5.75,3.18,57.60,184.00
12.123616 3.15,5.74,3.15,92.20,410.00
12.177163 3.30,0.29,3.30,2.70,10.00
12.234461 3.30,0.26,3.30,2.80,10.00
12.287407 3.30,0.28,3.30,2.70,10.00
12.345061 3.30,0.28,3.30,3.00,10.00
12.398007 3.30,0.27,3.30,2.80,10.00
12.455379 3.30,0.28,3.30,2.70,10.00
12.508886 3.30,0.30,3.30,2.80,10.00
12.566312 3.30,0.27,3.30,2.80,10.00
12.619021 3.30,0.29,3.30,2.80,10.00
12.676471 3.30,0.28,3.30,2.80,10.00
12.730192 3.30,0.26,3.30,2.80,10.00
12.787146 3.30,0.27,3.30,2.70,10.00
12.840558 3.30,0.30,3.30,3.00,10.00
12.897949 3.30,0.25,3.30,2.70,10.00
12.951203 3.30,0.25,3.30,2.70,10.00
13.008217 3.30,0.27,3.30,2.70,10.00
13.062001 3.30,0.28,3.30,2.70,10.00
13.119101 3.30,0.30,3.30,2.80,10.00
13.172229 3.30,0.28,3.30,2.70,10.00
13.229526 3.30,0.26,3.30,2.60,10.00
13.282753 3.30,0.27,3.30,2.80,10.00
13.340193 3.30,0.27,3.30,2.60,10.00
13.393382 3.30,0.29,3.30,2.40,10.00
13.450639 3.30,0.28,3.30,2.90,10.00
13.503882 3.30,0.28,3.30,3.00,10.00
13.561126 3.30,0.25,3.30,2.50,10.00
13.614552 3.30,0.26,3.30,2.50,10.00
13.668169 3.30,0.26,3.30,2.70,10.00
13.725240 3.30,0.29,3.30,2.40,6.00
13.778533 3.30,0.27,3.30,2.90,10.00
13.835646 3.30,0.28,3.30,2.60,10.00
13.889281 3.30,0.27,3.30,2.70,10.00
13.946348 3.30,0.27,3.30,2.50,10.00
13.999462 3.30,0.25,3.30,3.00,10.00
14.057283 3.30,0.27,3.30,2.50,10.00
14.110061 3.30,0.27,3.30,2.90,6.00
14.167197 3.30,0.28,3.30,2.70,10.00
14.220705 3.30,0.28,3.30,2.90,10.00
14.278265 3.30,0.28,3.30,2.70,10.00
14.331272 3.30,0.27,3.30,2.90,10.00
14.388636 3.30,0.28,3.30,2.70,10.00
14.441782 3.30,0.28,3.30,2.90,10.00
14.499355 3.30,0.27,3.30,2.40,6.00
14.552428 3.30,0.29,3.30,2.70,10.00
14.609918 3.30,0.27,3.30,2.60,10.00
14.663017 3.30,0.28,3.30,2.60,10.00
14.720089 3.30,0.28,3.30,2.70,10.00
